id_MODEL,group_MODEL,algorithm_MODEL,count_MODEL,Accuracy_MODEL
476,Wrong,Logistic Regression,1,F1 Score: 68%
477,Wrong,Logistic Regression,1,F1 Score: 68%
478,Wrong,Logistic Regression,1,F1 Score: 68%
479,Wrong,Logistic Regression,1,F1 Score: 68%
480,Wrong,Logistic Regression,1,F1 Score: 68%
481,Wrong,Logistic Regression,1,F1 Score: 68%
482,Wrong,Logistic Regression,1,F1 Score: 68%
483,Wrong,Logistic Regression,1,F1 Score: 68%
484,Wrong,Logistic Regression,1,F1 Score: 68%
485,Wrong,Logistic Regression,1,F1 Score: 68%
486,Wrong,Logistic Regression,1,F1 Score: 68%
487,Wrong,Logistic Regression,1,F1 Score: 68%
488,Wrong,Logistic Regression,1,F1 Score: 68%
489,Wrong,Logistic Regression,1,F1 Score: 68%
490,Wrong,Logistic Regression,1,F1 Score: 68%
491,Wrong,Logistic Regression,1,F1 Score: 68%
492,Wrong,Logistic Regression,1,F1 Score: 68%
493,Wrong,Logistic Regression,1,F1 Score: 68%
494,Wrong,Logistic Regression,1,F1 Score: 68%
495,Wrong,Logistic Regression,1,F1 Score: 68%
496,Wrong,Logistic Regression,1,F1 Score: 68%
497,Wrong,Logistic Regression,1,F1 Score: 68%
498,Wrong,Logistic Regression,1,F1 Score: 68%
499,Wrong,Logistic Regression,1,F1 Score: 68%
500,Wrong,Logistic Regression,1,F1 Score: 68%
501,Correct,Naive Bayes,1,F1 Score: 69%
502,Correct,Naive Bayes,1,F1 Score: 69%
503,Correct,Naive Bayes,1,F1 Score: 69%
504,Correct,Naive Bayes,1,F1 Score: 69%
505,Correct,Naive Bayes,1,F1 Score: 69%
506,Correct,Naive Bayes,1,F1 Score: 69%
507,Correct,Naive Bayes,1,F1 Score: 69%
508,Correct,Naive Bayes,1,F1 Score: 69%
509,Correct,Naive Bayes,1,F1 Score: 69%
510,Correct,Naive Bayes,1,F1 Score: 69%
511,Correct,Naive Bayes,1,F1 Score: 69%
